Hauptkraftwerk;;;;;;;;;Wehr 1;;;;;;Wehr 2;;;;;;Wehr 3;;;;;;Wehr4;;;;;;;;;;;;
Gesamt Zufluss gemittelt (m3/s);Niv See (m.Å.M.);Durchfluss HKW  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Durchfluss M1        (m¸/s);Durchfluss M2      (m¸/s);Durchfluss Turbinen gesamt (m¸/s);Abfluss Åber Wehr  (m¸/s);Niv Wehr 1 (m.Å.M.);Durchfluss Wehr 1  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Durchfluss Turbinen gesamt (m¸/s);Abfluss Åber Wehr  (m¸/s);Niv Wehr 2 (m.Å.M.);Durchfluss Wehr 2  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Durchfluss Turbinen gesamt (m¸/s);Abfluss Åber Wehr  (m¸/s);Niv Wehr 3 (m.Å.M.);Durchfluss Wehr 3  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Durchfluss Turbinen gesamt (m¸/s);Abfluss Åber Wehr  (m¸/s);Niv Wehr 4 (m.Å.M.);Durchfluss Wehr 4  (m3/s);Leistung M1 (kW);Durchfluss Maschine (m3/s);Durchfluss Flachschieber (m3/s);Durchfluss Grundabl. 1 & 2 (m3/s);Abfluss Åber Wehr gesamt  (m¸/s);Gesamt Produktion (kWh);;Strompreis (?/kwh);;Gewinn          (?);Gesamt Gewinn Woche 02-2011
;317,16;43,9;4920;5113;14,2;14,7;28,9;15;276,46;39,7;97;73;27;12,7;273,72;43,4;0;0;0;43,4;270,94;41,8;0;0;0;41,8;269,38;45,9;184;7,1;0;38,9;38,9;2596,775365;0,95096594;27,99;0,397415874;72683,74247;80542421,79
;317,18;43,9;4904;5100;14,2;14,7;28,9;15;276,46;40;97;72;27;13;273,7;44,1;0;0;0;44,1;270,94;41,5;0;0;0;41,5;269,42;45,8;185;7,1;0;38,7;38,7;2589,627745;0,948348408;27,99;0,397415874;72483,6806;
;317,21;43,9;4943;5120;14,2;14,7;28,9;15;276,46;40;102;77;27;13;273,63;42;0;0;0;42;271;41,7;0;0;0;41,7;269,46;46,4;188;7,1;0;39,3;39,3;2607,529992;0,954904396;27,99;0,397415874;72984,76446;
;317,22;43,9;4959;5130;14,2;14,7;28,9;15;276,49;39,5;108;84;27;12,5;273,61;40,1;0;0;0;40,1;271,03;41,4;0;0;0;41,4;269,48;47;190;7,1;0;39,9;39,9;2617,837935;0,958679271;27,99;0,397415874;73273,2838;
;317,25;43,9;4933;5126;14,2;14,7;28,9;15;276,52;40,5;110;87;27;13,5;273,6;40;0;0;0;40;271,04;41;0;0;0;41;269,49;47,7;185;7,1;0;40,6;40,6;2610,164038;0,955869011;24,94;0,354110464;65097,4911;
;317,27;44;4937;5117;14,2;14,8;29,0;15;276,53;41,3;110;87;27;14,3;273,6;40,4;0;0;0;40,4;271,04;41,4;0;0;0;41,4;269,49;48,8;189;7,1;0;41,7;41,7;2609,855479;0,955756013;24,94;0,354110464;65089,79563;
;317,28;44;4937;5136;14,2;14,8;29,0;15;276,54;42,1;109;86;27;15,1;273,6;40,4;0;0;0;40,4;271,06;42;0;0;0;42;269,49;50,2;185;7,1;0;43,2;43,2;2613,338315;0,957031464;24,94;0,354110464;65176,65757;
;317,30;44;4956;5126;14,3;14,7;29,0;15;276,54;42,3;107;84;27;15,3;273,6;39,9;0;0;0;39,9;271,05;42,5;0;0;0;42,5;269,49;51,8;182;7,1;0;44,8;44,8;2613,772438;0,957190444;24,94;0,354110464;65187,48459;
;317,34;44;4953;5113;14,3;14,7;29,0;15;276,53;41,7;100;77;27;14,7;273,67;41,7;0;0;0;41,7;270,99;42,3;0;0;0;42,3;269,49;52,4;181;7,1;0;45,4;45,4;2606,136048;0,954393919;20,07;0,284963794;52305,15049;
;317,35;44;4937;5149;14,2;14,8;29,0;15;276,5;40,9;96;71;27;13,9;273,72;44,1;0;0;0;44,1;270,95;42,6;0;0;0;42,6;269,49;53,7;176;7,1;0;46,6;46,6;2607,269472;0,954808991;20,07;0,284963794;52327,89831;
;317,38;44;4933;5140;14,2;14,8;29,0;15;276,46;39,9;95;70;27;12,9;273,73;44,4;0;0;0;44,4;270,94;42,5;0;0;0;42,5;269,47;54,3;175;7;0;47,3;47,3;2603,112964;0,953286835;20,07;0,284963794;52244,47719;
;317,40;44;4953;5140;14,2;14,8;29,0;15;276,45;40;95;69;27;13;273,73;44,4;0;0;0;44,4;270,94;42,3;0;0;0;42,3;269,45;54,5;174;7;0;47,5;47,5;2607,81361;0,95500826;20,07;0,284963794;52338,81915;
;317,42;44;4950;5162;14,2;14,8;29,0;15;276,45;39,5;100;74;27;12,5;273,66;42,4;0;0;0;42,4;270,97;42;0;0;0;42;269,41;53,7;170;7;0;46,6;46,6;2614,05041;0,95729224;14,19;0,201476643;37093,37532;
;317,44;44;4940;5166;14,2;14,8;29,0;15;276,48;39,9;106;82;27;12,9;273,6;40,9;0;0;0;40,9;271,02;41,3;0;0;0;41,3;269,38;52,9;170;7;0;45,9;45,9;2616,067222;0,958030817;14,19;0,201476643;37121,99387;
;317,46;44;4930;5159;14,2;14,8;29,0;15;276,51;40,7;108;85;27;13,7;273,59;40,5;0;0;0;40,5;271,03;41,2;0;0;0;41,2;269,35;51;171;7;0;44;44;2613,229705;0,95699169;14,19;0,201476643;37081,72952;
;317,47;44;4927;5149;14,2;14,8;29,0;15;276,53;41,3;108;84;27;14,3;273,59;40,3;0;0;0;40,3;271,03;41,6;0;0;0;41,6;269,34;49,9;168;7;0;42,9;42,9;2609,089692;0,955475574;14,19;0,201476643;37022,98273;
;317,50;44;4933;5159;14,2;14,8;29,0;15;276,53;41,7;108;85;27;14,7;273,59;40,3;0;0;0;40,3;271,04;42;0;0;0;42;269,33;48,9;175;7;0;41,9;41,9;2614,843559;0,9575827;10,46;0,148516257;27351,26363;
;317,53;44;4963;5169;14,2;14,8;29,0;15;276,53;41,6;108;85;27;14,6;273,62;40,5;0;0;0;40,5;271,03;42,3;0;0;0;42,3;269,33;48,4;172;7;0;41,4;41,4;2624,017216;0,960942187;10,46;0,148516257;27447,22008;
;317,54;44;4963;5176;14,2;14,8;29,0;15;276,53;42;107;84;27;15;273,69;42,7;0;0;0;42,7;270,95;42,2;0;0;0;42,2;269,33;47;177;7;0;39,9;39,9;2626,908078;0,962000851;10,46;0,148516257;27477,4585;
;317,56;44;4917;5166;14,1;14,9;29,0;15;276,53;41,8;107;84;27;14,8;273,7;43,2;0;0;0;43,2;270,94;41,4;0;0;0;41,4;269,34;45,1;178;7;0;38,1;38,1;2612,904732;0,956872681;10,46;0,148516257;27330,9835;
;317,59;44;4927;5159;14,2;14,8;29,0;15;276,53;42,2;100;76;27;15,2;273,68;44;0;0;0;44;270,94;41,4;0;0;0;41,4;269,38;44,9;183;7,1;0;37,9;37,9;2611,431931;0,956333326;14,8;0,210137725;38649,19257;
