Hauptkraftwerk;;;;;;;;Wehr 1;;;;Wehr 2;;;;Wehr 3;;;;Wehr4;;;;;;;;;;;;;
Gesamt Zufluss gemittelt (m3/s);Niv See (m.Å.M.);Durchfluss HKW  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Durchfluss M1;Durchfluss M2;Durchfluss Grundabl.;Niv Wehr 1 (m.Å.M.);Durchfluss Wehr 1  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 2 (m.Å.M.);Durchfluss Wehr 2  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 3 (m.Å.M.);Durchfluss Wehr 3  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 4 (m.Å.M.);Durchfluss Wehr 4  (m3/s);Leistung M1 (kW);Durchfluss Maschine (m3/s);Durchfluss Flachschieber (m3/s);Durchfluss Grundabl. 1 & 2 (m3/s);Pegel H. G. (NullPegel 263,00 m.Å.M);Durchfluss Heiderscheider Grund (m3/s);Gesamt Produktion (kWh);;Strompreis (?/kwh);;Gewinn          (?);Gesamt Gewinn Woche 02-2011
314,85;0;0;0;0;0;0;276,3;0;0;0;273,66;0,4;0;0;271,06;0;0;0;270,51;1,1;0;0;1,1;0;28;0,619;0;0;50,18;0,666932483;0;2462418,777;
314,84;0;0;0;0;0;0;276,3;0;0;0;273,66;0,4;0;0;271,06;0;0;0;270,5;1,1;0;0;1,1;0;28;0,619;0;0;50,18;0,666932483;0;;
314,84;0;0;0;0;0;0;276,3;0;0;0;273,66;0,4;0;0;271,06;0;0;0;270,5;1,1;0;0;1,1;0;28;0,619;0;0;50,18;0,666932483;0;;
314,85;0;0;0;0;0;0;276,29;0;0;0;273,66;0,4;0;0;271,06;0;0;0;270,49;1,1;0;0;1,1;0;28;0,619;0;0;50,18;0,666932483;0;;
314,84;0;0;0;0;0;0;276,29;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,49;1,1;0;0;1,1;0;28;0,619;0;0;47,83;0,635699096;0;;
314,85;0;0;0;0;0;0;276,29;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,48;1,1;0;0;1,1;0;28;0,619;0;0;47,83;0,635699096;0;;
314,85;0;0;0;0;0;0;276,29;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,48;1,1;0;0;1,1;0;29;0,641;0;0;47,83;0,635699096;0;;
314,85;0;0;0;0;0;0;276,28;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,47;1,1;0;0;1,1;0;29;0,641;0;0;47,83;0,635699096;0;;
314,84;0;0;0;0;0;0;276,28;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,46;1,1;0;0;1,1;0;29;0,641;0;0;45,92;0,610313663;0;;
314,84;0;0;0;0;0;0;276,27;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,46;1,1;0;0;1,1;0;28;0,619;0;0;45,92;0,610313663;0;;
314,85;0;0;0;0;0;0;276,27;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,46;1,1;0;0;1,1;0;28;0,619;0;0;45,92;0,610313663;0;;
314,85;0;0;0;0;0;0;276,27;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,45;1,1;0;0;1,1;0;28;0,619;0;0;45,92;0,610313663;0;;
314,84;0;0;0;0;0;0;276,26;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,44;1,1;0;0;1,1;0;28;0,619;0;0;42,95;0,570839979;0;;
314,84;0;0;0;0;0;0;276,26;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,44;1,1;0;0;1,1;0;28;0,619;0;0;42,95;0,570839979;0;;
314,84;0;0;0;0;0;0;276,26;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,43;1,1;0;0;1,1;0;28;0,619;0;0;42,95;0,570839979;0;;
314,84;0;0;0;0;0;0;276,26;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,42;1,1;0;0;1,1;0;28;0,619;0;0;42,95;0,570839979;0;;
314,84;0;0;0;0;0;0;276,26;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,42;1,1;0;0;1,1;0;28;0,619;0;0;39,65;0,52698033;0;;
314,84;0;0;0;0;0;0;276,26;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,41;1,1;0;0;1,1;0;28;0,619;0;0;39,65;0,52698033;0;;
314,85;0;0;0;0;0;0;276,25;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,41;1,1;0;0;1,1;0;28;0,619;0;0;39,65;0,52698033;0;;
314,84;0;0;0;0;0;0;276,25;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,4;1,1;0;0;1,1;0;28;0,619;0;0;39,65;0,52698033;0;;
314,84;0;0;0;0;0;0;276,25;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,4;1,1;0;0;1,1;0;28;0,619;0;0;37,8;0,502392344;0;;
314,84;0;0;0;0;0;0;276,25;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,39;1,1;0;0;1,1;0;28;0,619;0;0;37,8;0,502392344;0;;
314,85;0;0;0;0;0;0;276,25;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,39;1,1;0;0;1,1;0;28;0,619;0;0;37,8;0,502392344;0;;
